run_id,algo,variant,seed,pop_size,tournament_size,p_inflate,n_elites,elite_train_rmse,elite_size,elite_nodes
37442132-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,2,0.7,5,0.9981659650802612,38,788
37442182-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,2,0.7,5,0.9925057291984558,114,2514
37442434-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,2,0.7,10,1.2435721158981323,117,2259
374424a2-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,2,0.7,10,0.9974179863929749,36,728
374424e8-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,2,0.7,10,0.9929736256599426,119,2537
3744254c-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,5,0.3,1,1.092446208000183,94,1786
37442592-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,5,0.3,1,0.9985741376876831,44,1144
374425d8-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,5,0.3,1,0.9926027059555054,91,2387
3744261e-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,5,0.3,3,1.2611843347549438,118,2120
37442682-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,5,0.3,3,0.9983201622962952,37,749
374426d2-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,5,0.3,3,0.9925023317337036,80,1458
37442718-7c76-11f1-bc3d-72c976fed59b,SLIM+MIX_oms,SLIM+MIX,0,100,5,0.3,5,1.1586017608642578,114,2028
3744275e-7c76-11f1-bc3d-72c976fed59b,SLIM*MIX_oms,SLIM*MIX,0,100,5,0.3,5,0.9982805848121643,37,815
374427c2-7c76-11f1-bc3d-72c976fed59b,SLIM~MIX_oms,SLIM~MIX,0,100,5,0.3,5,0.9924100041389465,97,2335
